企业名称,公告标题,发布日期,状态,链接地址
商城集团,浙江中国小商品城集团股份有限公司全球数贸中心住房租赁分公司健身器材采购项目中标公告,2026-03-16,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001005/20260316/fc7e4b89-4579-4f0a-ac99-e4d3a56032cf.html
水务集团,义乌市排水有限公司劳务服务采购（标段二）中标公告,2026-03-16,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002005/20260316/89a7e4d3-bae8-4c89-8ef4-6ed8de28a6b5.html
交旅集团,交旅集团2026年信用评级服务采购项目单一来源采购公示,2026-03-13,正在投标,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260313/fb11cc14-8419-4dfd-9685-68fbfce002ba.html
市场集团,浙江义乌林业开发有限公司监控系统采购项目招标公告,2026-03-13,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001001/20260313/5ed6aa66-43cc-49c5-91f0-160cc1e3140c.html
市场集团,义乌市市场发展企业管理有限公司数字农批物流中心平台采购项目招标公告,2026-03-13,正在投标,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260313/dd5675e8-12e9-4e6d-912d-18e51beb3296.html
商城集团,浙江中国小商品城集团股份有限公司海洋酒店床垫采购项目招标公告,2026-03-13,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001001/20260313/35bd8054-94f2-48ce-8d2d-bac0a6c884eb.html
资环集团,义乌市资源循环集团有限公司2026年车辆汽油加油服务采购项目单一来源采购公示,2026-03-13,正在投标,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260313/6c0e6c8c-0f4b-4afe-8801-894c305bca6a.html
市场集团,义乌市粮食收储有限公司2026年度保安服务采购项目单一来源采购公示,2026-03-13,正在投标,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260313/0e76acc7-f52d-4faf-a98a-5a098a71d5c0.html
商城集团,浙江中国小商品城集团股份有限公司海洋酒店地毯采购项目招标公告,2026-03-13,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001001/20260313/52e97831-1690-4236-b183-9a3e12cd4841.html
商城集团,浙江中国小商品城集团股份有限公司银都雅悦酒店员工食堂劳务外包服务项目废标公告,2026-03-13,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002006/20260316/e15cd8f5-597a-4d22-9f57-f43fc92bdc6e.html
国资运营公司,义乌产权交易所有限公司2026年绿植租摆服务项目采购,2026-03-13,正在投标,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260313/a4810f76-6b7d-41d3-bf00-7377417a2380.html
商城集团,义乌市银都商途餐饮有限公司咖啡调制品采购项目,2026-03-13,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001005/20260313/451fcb92-f5a0-44e0-82f5-4e5304996494.html
